category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://nsf.gov\" target=\"_blank\">U.S. National Science Foundation</a>","a[href$=\"nsf.gov\"]","Fix any of the following:\n  Element has insufficient color contrast of 4 (foreground color: #0489ba, background color: #222222, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://incommon.org/federation/\">InCommon Federation</a>","p:nth-child(4) > a","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://www.cilogon.org/privacy\">CILogon privacy policy</a>","p:nth-child(11) > a","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://www.cilogon.org/\">CILogon</a>","a[href$=\"cilogon.org/\"]","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://access-ci.org/\">ACCESS</a>","a[href$=\"access-ci.org/\"]","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://www.nsf.gov/awardsearch/showAward?AWD_ID=2138307\">2138307</a>","p:nth-child(13) > a","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://support.google.com/tagmanager/answer/7157428\">terms of service</a>","p:nth-child(16) > a","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://support.google.com/?hl=en-GB&amp;tid=111401120\">https://support.google.com/?hl=en-GB&amp;tid=111401120</a>","p:nth-child(31) > a","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://developers.google.com/recaptcha/\">https://developers.google.com/recaptcha/</a>","p:nth-child(33) > a:nth-child(1)","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://policies.google.com/privacy?hl=en-GB&amp;tid=111401120\">https://policies.google.com/privacy?hl=en-GB</a>","p:nth-child(33) > a:nth-child(2)","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
